IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read IOPS,Write IOPS
read,1k,40,1,1G,10,libaio,367557,0
read,1k,40,4,1G,10,libaio,347360,0
read,1k,40,16,1G,10,libaio,353539,0
read,1k,40,64,1G,10,libaio,341306,0
read,1k,40,128,1G,10,libaio,360281,0
read,4k,40,1,1G,10,libaio,176511,0
read,4k,40,4,1G,10,libaio,224323,0
read,4k,40,16,1G,10,libaio,206432,0
read,4k,40,64,1G,10,libaio,163611,0
read,4k,40,128,1G,10,libaio,214702,0
read,8k,40,1,1G,10,libaio,108110,0
read,8k,40,4,1G,10,libaio,93816,0
read,8k,40,16,1G,10,libaio,116866,0
read,8k,40,64,1G,10,libaio,112701,0
read,8k,40,128,1G,10,libaio,78329,0
read,1M,40,1,1G,10,libaio,873,0
read,1M,40,4,1G,10,libaio,587,0
read,1M,40,16,1G,10,libaio,627,0
read,1M,40,64,1G,10,libaio,668,0
read,1M,40,128,1G,10,libaio,600,0
read,10M,40,1,1G,10,libaio,73,0
read,10M,40,4,1G,10,libaio,69,0
read,10M,40,16,1G,10,libaio,66,0
read,10M,40,64,1G,10,libaio,74,0
read,10M,40,128,1G,10,libaio,54,0
write,1k,40,1,1G,10,libaio,0,285757
write,1k,40,4,1G,10,libaio,0,306337
write,1k,40,16,1G,10,libaio,0,286291
write,1k,40,64,1G,10,libaio,0,297201
write,1k,40,128,1G,10,libaio,0,285422
write,4k,40,1,1G,10,libaio,0,154262
write,4k,40,4,1G,10,libaio,0,160104
write,4k,40,16,1G,10,libaio,0,158146
write,4k,40,64,1G,10,libaio,0,137362
write,4k,40,128,1G,10,libaio,0,130135
write,8k,40,1,1G,10,libaio,0,72824
write,8k,40,4,1G,10,libaio,0,89600
write,8k,40,16,1G,10,libaio,0,90838
write,8k,40,64,1G,10,libaio,0,88780
write,8k,40,128,1G,10,libaio,0,79120
write,1M,40,1,1G,10,libaio,0,497
write,1M,40,4,1G,10,libaio,0,526
write,1M,40,16,1G,10,libaio,0,563
write,1M,40,64,1G,10,libaio,0,567
write,1M,40,128,1G,10,libaio,0,660
write,10M,40,1,1G,10,libaio,0,52
write,10M,40,4,1G,10,libaio,0,55
write,10M,40,16,1G,10,libaio,0,50
write,10M,40,64,1G,10,libaio,0,49
write,10M,40,128,1G,10,libaio,0,49
randread,1k,40,1,1G,10,libaio,295082,0
randread,1k,40,4,1G,10,libaio,292984,0
randread,1k,40,16,1G,10,libaio,309821,0
randread,1k,40,64,1G,10,libaio,286211,0
randread,1k,40,128,1G,10,libaio,313300,0
randread,4k,40,1,1G,10,libaio,145977,0
randread,4k,40,4,1G,10,libaio,166366,0
randread,4k,40,16,1G,10,libaio,150847,0
randread,4k,40,64,1G,10,libaio,171862,0
randread,4k,40,128,1G,10,libaio,136580,0
randread,8k,40,1,1G,10,libaio,81827,0
randread,8k,40,4,1G,10,libaio,81268,0
randread,8k,40,16,1G,10,libaio,79726,0
randread,8k,40,64,1G,10,libaio,92578,0
randread,8k,40,128,1G,10,libaio,91341,0
randread,1M,40,1,1G,10,libaio,692,0
randread,1M,40,4,1G,10,libaio,508,0
randread,1M,40,16,1G,10,libaio,680,0
randread,1M,40,64,1G,10,libaio,533,0
randread,1M,40,128,1G,10,libaio,605,0
randread,10M,40,1,1G,10,libaio,70,0
randread,10M,40,4,1G,10,libaio,71,0
randread,10M,40,16,1G,10,libaio,61,0
randread,10M,40,64,1G,10,libaio,61,0
randread,10M,40,128,1G,10,libaio,51,0
randwrite,1k,40,1,1G,10,libaio,0,246681
randwrite,1k,40,4,1G,10,libaio,0,237347
randwrite,1k,40,16,1G,10,libaio,0,240181
randwrite,1k,40,64,1G,10,libaio,0,240395
randwrite,1k,40,128,1G,10,libaio,0,245859
randwrite,4k,40,1,1G,10,libaio,0,147184
randwrite,4k,40,4,1G,10,libaio,0,141504
