IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read IOPS,Write IOPS
read,read,1k,40,1,1G,10,85641,0
read,read,4k,40,1,1G,10,22331,0
read,read,8k,40,1,1G,10,11966,0
read,read,1M,40,1,1G,10,155,0
read,write,1k,40,1,1G,10,0,55208
read,write,4k,40,1,1G,10,0,24754
read,write,8k,40,1,1G,10,0,19868
read,write,1M,40,1,1G,10,0,82
read,randread,1k,40,1,1G,10,20618,0
read,randread,4k,40,1,1G,10,486,0
read,randread,8k,40,1,1G,10,17370,0
read,randread,1M,40,1,1G,10,129,0
read,rw,1k,40,1,1G,10,51117,51079
read,rw,4k,40,1,1G,10,10954,10959
read,rw,8k,40,1,1G,10,6481,6457
read,rw,1M,40,1,1G,10,60,54
write,read,1k,40,1,1G,10,101338,0
write,read,4k,40,1,1G,10,22350,0
write,read,8k,40,1,1G,10,25545,0
write,read,1M,40,1,1G,10,108,0
write,write,1k,40,1,1G,10,0,62381
write,write,4k,40,1,1G,10,0,17893
write,write,8k,40,1,1G,10,0,12249
write,write,1M,40,1,1G,10,0,88
write,randread,1k,40,1,1G,10,23578,0
write,randread,4k,40,1,1G,10,25216,0
write,randread,8k,40,1,1G,10,15576,0
write,randread,1M,40,1,1G,10,142,0
write,rw,1k,40,1,1G,10,48779,48753
write,rw,4k,40,1,1G,10,7004,6990
write,rw,8k,40,1,1G,10,5525,5508
write,rw,1M,40,1,1G,10,58,51
randread,read,1k,40,1,1G,10,107778,0
randread,read,4k,40,1,1G,10,35934,0
randread,read,8k,40,1,1G,10,14339,0
randread,read,1M,40,1,1G,10,114,0
randread,write,1k,40,1,1G,10,0,50757
randread,write,4k,40,1,1G,10,0,40237
randread,write,8k,40,1,1G,10,0,18729
randread,write,1M,40,1,1G,10,0,165
randread,randread,1k,40,1,1G,10,20925,0
randread,randread,4k,40,1,1G,10,27255,0
randread,randread,8k,40,1,1G,10,17128,0
randread,randread,1M,40,1,1G,10,133,0
randread,rw,1k,40,1,1G,10,62506,62456
randread,rw,4k,40,1,1G,10,12873,12852
randread,rw,8k,40,1,1G,10,5626,5609
randread,rw,1M,40,1,1G,10,82,72
randwrite,read,1k,40,1,1G,10,89051,0
randwrite,read,4k,40,1,1G,10,22871,0
randwrite,read,8k,40,1,1G,10,23882,0
randwrite,read,1M,40,1,1G,10,101,0
randwrite,write,1k,40,1,1G,10,0,1600
randwrite,write,4k,40,1,1G,10,0,39851
randwrite,write,8k,40,1,1G,10,0,21767
randwrite,write,1M,40,1,1G,10,0,84
