IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read Bandwidth (KB/s),Read IOPS,Write Bandwidth (KB/s),Write IOPS
read,1k,40,1,2G,300,libaio,112667,112667,0,0
read,1k,40,2,2G,300,libaio,104818,104818,0,0
read,1k,40,4,2G,300,libaio,111830,111830,0,0
read,1k,40,8,2G,300,libaio,114257,114257,0,0
read,1k,40,16,2G,300,libaio,126425,126425,0,0
read,1k,40,32,2G,300,libaio,118795,118795,0,0
read,1k,40,64,2G,300,libaio,103559,103559,0,0
read,1k,40,128,2G,300,libaio,103880,103880,0,0
read,4k,40,1,2G,300,libaio,103961,25990,0,0
read,4k,40,2,2G,300,libaio,106402,26600,0,0
read,4k,40,4,2G,300,libaio,128902,32225,0,0
read,4k,40,8,2G,300,libaio,150044,37511,0,0
read,4k,40,16,2G,300,libaio,106852,26713,0,0
read,4k,40,32,2G,300,libaio,105862,26465,0,0
read,4k,40,64,2G,300,libaio,105954,26488,0,0
read,4k,40,128,2G,300,libaio,104762,26190,0,0
read,8k,40,1,2G,300,libaio,110039,13754,0,0
read,8k,40,2,2G,300,libaio,106327,13290,0,0
read,8k,40,4,2G,300,libaio,118191,14773,0,0
read,8k,40,8,2G,300,libaio,108649,13581,0,0
read,8k,40,16,2G,300,libaio,134605,16825,0,0
read,8k,40,32,2G,300,libaio,113426,14178,0,0
read,8k,40,64,2G,300,libaio,108293,13536,0,0
read,8k,40,128,2G,300,libaio,124943,15617,0,0
read,16k,40,1,2G,300,libaio,117913,7369,0,0
read,16k,40,2,2G,300,libaio,110361,6897,0,0
read,16k,40,4,2G,300,libaio,107932,6745,0,0
read,16k,40,8,2G,300,libaio,112340,7021,0,0
read,16k,40,16,2G,300,libaio,108605,6787,0,0
read,16k,40,32,2G,300,libaio,109530,6845,0,0
read,16k,40,64,2G,300,libaio,117776,7361,0,0
read,16k,40,128,2G,300,libaio,101660,6353,0,0
write,1k,40,1,2G,300,libaio,0,0,5778,5778
write,1k,40,2,2G,300,libaio,0,0,5819,5819
write,1k,40,4,2G,300,libaio,0,0,6719,6719
write,1k,40,8,2G,300,libaio,0,0,6606,6606
write,1k,40,16,2G,300,libaio,0,0,6514,6514
write,1k,40,32,2G,300,libaio,0,0,6836,6836
write,1k,40,64,2G,300,libaio,0,0,6525,6525
write,1k,40,128,2G,300,libaio,0,0,6651,6651
write,4k,40,1,2G,300,libaio,0,0,112048,28012
write,4k,40,2,2G,300,libaio,0,0,114072,28518
write,4k,40,4,2G,300,libaio,0,0,116467,29116
write,4k,40,8,2G,300,libaio,0,0,109055,27263
write,4k,40,16,2G,300,libaio,0,0,112166,28041
write,4k,40,32,2G,300,libaio,0,0,118947,29736
write,4k,40,64,2G,300,libaio,0,0,114415,28603
write,4k,40,128,2G,300,libaio,0,0,113831,28457
write,8k,40,1,2G,300,libaio,0,0,111611,13951
write,8k,40,2,2G,300,libaio,0,0,108230,13528
write,8k,40,4,2G,300,libaio,0,0,109570,13696
write,8k,40,8,2G,300,libaio,0,0,107353,13419
write,8k,40,16,2G,300,libaio,0,0,110045,13755
write,8k,40,32,2G,300,libaio,0,0,109130,13641
write,8k,40,64,2G,300,libaio,0,0,112531,14066
write,8k,40,128,2G,300,libaio,0,0,115186,14398
write,16k,40,1,2G,300,libaio,0,0,112712,7044
write,16k,40,2,2G,300,libaio,0,0,112348,7021
write,16k,40,4,2G,300,libaio,0,0,114449,7153
write,16k,40,8,2G,300,libaio,0,0,112728,7045
write,16k,40,16,2G,300,libaio,0,0,114061,7128
write,16k,40,32,2G,300,libaio,0,0,113494,7093
write,16k,40,64,2G,300,libaio,0,0,112113,7007
write,16k,40,128,2G,300,libaio,0,0,112795,7049
randread,1k,40,1,2G,300,libaio,6150,6150,0,0
randread,1k,40,2,2G,300,libaio,7041,7041,0,0
randread,1k,40,4,2G,300,libaio,6988,6988,0,0
randread,1k,40,8,2G,300,libaio,7072,7072,0,0
randread,1k,40,16,2G,300,libaio,6999,6999,0,0
randread,1k,40,32,2G,300,libaio,7045,7045,0,0
randread,1k,40,64,2G,300,libaio,4596,4596,0,0
randread,1k,40,128,2G,300,libaio,7028,7028,0,0
randread,4k,40,1,2G,300,libaio,10582,2645,0,0
randread,4k,40,2,2G,300,libaio,10545,2636,0,0
randread,4k,40,4,2G,300,libaio,10225,2556,0,0
randread,4k,40,8,2G,300,libaio,10640,2660,0,0
randread,4k,40,16,2G,300,libaio,10465,2616,0,0
randread,4k,40,32,2G,300,libaio,9990,2497,0,0
randread,4k,40,64,2G,300,libaio,10590,2647,0,0
randread,4k,40,128,2G,300,libaio,10236,2559,0,0
randread,8k,40,1,2G,300,libaio,21234,2654,0,0
randread,8k,40,2,2G,300,libaio,21214,2651,0,0
randread,8k,40,4,2G,300,libaio,20657,2582,0,0
randread,8k,40,8,2G,300,libaio,21270,2658,0,0
randread,8k,40,16,2G,300,libaio,20866,2608,0,0
randread,8k,40,32,2G,300,libaio,21078,2634,0,0
randread,8k,40,64,2G,300,libaio,20753,2594,0,0
randread,8k,40,128,2G,300,libaio,21522,2690,0,0
randread,16k,40,1,2G,300,libaio,39546,2471,0,0
randread,16k,40,2,2G,300,libaio,36106,2256,0,0
randread,16k,40,4,2G,300,libaio,37307,2331,0,0
