IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read Bandwidth (KB/s),Read IOPS,Read Latency Min (ms),Read Latency Max (ms),Read Latency Avg (ms),Read Latency Dev (ms),Write Bandwidth (KB/s),Write IOPS,Write Latency Min (ms),Write Latency Max (ms),Write Latency Avg (ms),Write Latency Dev (ms)
read,1k,1,1,20G,300,libaio,754443,754443,0,1208,1.098308,2.979333,0,0,0,0,0.000000,0.000000
read,1k,1,2,20G,300,libaio,749207,749207,1,5818,2.366730,4.204622,0,0,0,0,0.000000,0.000000
read,1k,1,4,20G,300,libaio,744144,744144,1,1096,4.943340,5.864541,0,0,0,0,0.000000,0.000000
read,1k,1,8,20G,300,libaio,748014,748014,1,1418,10.066462,8.822178,0,0,0,0,0.000000,0.000000
read,1k,1,16,20G,300,libaio,748043,748043,1,1254,20.331418,12.717326,0,0,0,0,0.000000,0.000000
read,1k,1,32,20G,300,libaio,750125,750125,1,1329,40.796297,16.918452,0,0,0,0,0.000000,0.000000
read,1k,1,64,20G,300,libaio,720418,720418,1,1765,84.889922,21.486830,0,0,0,0,0.000000,0.000000
read,1k,1,128,20G,300,libaio,727429,727429,2,7314,168.988692,30.309704,0,0,0,0,0.000000,0.000000
read,1k,2,1,20G,300,libaio,701632,701632,0,13104,1.182665,14.805230,0,0,0,0,0.000000,0.000000
read,1k,2,2,20G,300,libaio,680316,680316,1,14228,2.639046,25.081850,0,0,0,0,0.000000,0.000000
read,1k,2,4,20G,300,libaio,643236,643236,1,12611,5.742491,21.009384,0,0,0,0,0.000000,0.000000
read,1k,2,8,20G,300,libaio,634436,634436,1,10011,11.944343,36.218383,0,0,0,0,0.000000,0.000000
read,1k,2,16,20G,300,libaio,642010,642010,1,8804,23.842867,53.681841,0,0,0,0,0.000000,0.000000
read,1k,2,32,20G,300,libaio,630056,630056,1,9533,48.318416,55.949434,0,0,0,0,0.000000,0.000000
read,1k,2,64,20G,300,libaio,672199,672199,1,15547,91.632713,130.594561,0,0,0,0,0.000000,0.000000
read,1k,2,128,20G,300,libaio,603828,603828,2,11293,201.946105,120.824157,0,0,0,0,0.000000,0.000000
read,1k,4,1,20G,300,libaio,540218,540218,0,15033,1.548351,33.834185,0,0,0,0,0.000000,0.000000
read,1k,4,2,20G,300,libaio,532722,532722,1,15130,3.350012,38.747310,0,0,0,0,0.000000,0.000000
read,1k,4,4,20G,300,libaio,529924,529924,1,15138,6.981728,56.613139,0,0,0,0,0.000000,0.000000
read,1k,4,8,20G,300,libaio,570755,570755,5,12200,12.878129,57.697642,0,0,0,0,0.000000,0.000000
read,1k,4,16,20G,300,libaio,519373,519373,1,15228,29.354622,146.227750,0,0,0,0,0.000000,0.000000
read,1k,4,32,20G,300,libaio,521482,521482,1,13669,58.395824,188.123177,0,0,0,0,0.000000,0.000000
read,1k,4,64,20G,300,libaio,559188,559188,1,17724,107.541451,205.020119,0,0,0,0,0.000000,0.000000
read,1k,4,128,20G,300,libaio,512368,512368,2,14558,239.831056,366.439505,0,0,0,0,0.000000,0.000000
read,4k,1,1,20G,300,libaio,1003293,250823,0,4924,3.521910,20.686694,0,0,0,0,0.000000,0.000000
read,4k,1,2,20G,300,libaio,917869,229467,1,5075,8.026962,49.661119,0,0,0,0,0.000000,0.000000
read,4k,1,4,20G,300,libaio,995307,248826,1,1998,14.903343,43.781656,0,0,0,0,0.000000,0.000000
read,4k,1,8,20G,300,libaio,920324,230081,1,5040,32.742968,96.632740,0,0,0,0,0.000000,0.000000
read,4k,1,16,20G,300,libaio,1003070,250767,1,2802,59.784028,75.710727,0,0,0,0,0.000000,0.000000
read,4k,1,32,20G,300,libaio,911333,227833,1,8676,133.012769,184.182034,0,0,0,0,0.000000,0.000000
read,4k,1,64,20G,300,libaio,983983,245995,2,6697,244.939988,120.601870,0,0,0,0,0.000000,0.000000
read,4k,1,128,20G,300,libaio,896443,224110,2,4255,544.660369,294.973328,0,0,0,0,0.000000,0.000000
read,4k,2,1,20G,300,libaio,763200,190800,0,7365,4.712290,55.209353,0,0,0,0,0.000000,0.000000
read,4k,2,2,20G,300,libaio,894036,223509,2,7894,8.027207,42.335685,0,0,0,0,0.000000,0.000000
read,4k,2,4,20G,300,libaio,893881,223470,2,9929,16.336775,59.140350,0,0,0,0,0.000000,0.000000
read,4k,2,8,20G,300,libaio,750761,187690,2,4821,39.713571,153.888820,0,0,0,0,0.000000,0.000000
read,4k,2,16,20G,300,libaio,749235,187308,1,7895,79.808518,214.574163,0,0,0,0,0.000000,0.000000
read,4k,2,32,20G,300,libaio,890723,222680,2,4895,132.939467,153.624956,0,0,0,0,0.000000,0.000000
read,4k,2,64,20G,300,libaio,740061,185015,2,7139,324.167769,387.137976,0,0,0,0,0.000000,0.000000
read,4k,2,128,20G,300,libaio,871738,217934,3,4037,544.207772,245.029161,0,0,0,0,0.000000,0.000000
read,4k,4,1,20G,300,libaio,758341,189585,0,117470,4.773250,54.093422,0,0,0,0,0.000000,0.000000
read,4k,4,2,20G,300,libaio,763077,190769,1,7301,9.577106,68.889737,0,0,0,0,0.000000,0.000000
read,4k,4,4,20G,300,libaio,594404,148601,1,12567,25.161815,153.225635,0,0,0,0,0.000000,0.000000
read,4k,4,8,20G,300,libaio,575161,143790,5,9093,51.932640,252.782434,0,0,0,0,0.000000,0.000000
read,4k,4,16,20G,300,libaio,776901,194225,2,14370,78.025331,236.043032,0,0,0,0,0.000000,0.000000
read,4k,4,32,20G,300,libaio,780755,195188,1,11810,155.484141,324.306509,0,0,0,0,0.000000,0.000000
read,4k,4,64,20G,300,libaio,557497,139374,2,9715,435.922407,591.349597,0,0,0,0,0.000000,0.000000
read,4k,4,128,20G,300,libaio,773284,193321,2,13975,630.404730,592.724009,0,0,0,0,0.000000,0.000000
read,8k,1,1,20G,300,libaio,1058008,132251,1,5165,6.836888,33.935793,0,0,0,0,0.000000,0.000000
read,8k,1,2,20G,300,libaio,942674,117834,2,5031,15.743675,76.465481,0,0,0,0,0.000000,0.000000
read,8k,1,4,20G,300,libaio,1060557,132569,2,5096,28.046987,65.204856,0,0,0,0,0.000000,0.000000
read,8k,1,8,20G,300,libaio,941850,117731,2,6092,63.855993,147.010885,0,0,0,0,0.000000,0.000000
read,8k,1,16,20G,300,libaio,1051095,131386,3,6051,114.139621,120.669039,0,0,0,0,0.000000,0.000000
read,8k,1,32,20G,300,libaio,1050006,131250,2,6392,228.903774,128.427563,0,0,0,0,0.000000,0.000000
read,8k,1,64,20G,300,libaio,1044142,130517,2,7098,462.798192,144.472319,0,0,0,0,0.000000,0.000000
read,8k,1,128,20G,300,libaio,934451,116806,3,7781,1029.588590,384.641112,0,0,0,0,0.000000,0.000000
read,8k,2,1,20G,300,libaio,788549,98568,1,5161,9.251835,83.391250,0,0,0,0,0.000000,0.000000
read,8k,2,2,20G,300,libaio,958517,119814,2,23786,15.122439,63.618240,0,0,0,0,0.000000,0.000000
read,8k,2,4,20G,300,libaio,954032,119254,2,9102,30.624303,88.265552,0,0,0,0,0.000000,0.000000
read,8k,2,8,20G,300,libaio,945750,118218,2,7819,61.968565,126.314203,0,0,0,0,0.000000,0.000000
read,8k,2,16,20G,300,libaio,775311,96913,2,6037,153.764544,310.482644,0,0,0,0,0.000000,0.000000
read,8k,2,32,20G,300,libaio,946057,118257,3,7068,250.132125,198.931484,0,0,0,0,0.000000,0.000000
read,8k,2,64,20G,300,libaio,945617,118202,2,7251,497.964838,219.409956,0,0,0,0,0.000000,0.000000
read,8k,2,128,20G,300,libaio,947039,118379,3,7221,994.248653,308.323138,0,0,0,0,0.000000,0.000000
read,8k,4,1,20G,300,libaio,614368,76796,1,15044,12.065971,115.369271,0,0,0,0,0.000000,0.000000
read,8k,4,2,20G,300,libaio,648023,81002,2,13919,23.109426,155.091045,0,0,0,0,0.000000,0.000000
read,8k,4,4,20G,300,libaio,636540,79567,2,9696,47.266656,202.115383,0,0,0,0,0.000000,0.000000
read,8k,4,8,20G,300,libaio,627224,78403,6,9249,95.958551,282.236278,0,0,0,0,0.000000,0.000000
read,8k,4,16,20G,300,libaio,801651,100206,2,8473,149.931313,263.835746,0,0,0,0,0.000000,0.000000
