IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read Bandwidth (KB/s),Read IOPS,Read Latency Min (ms),Read Latency Max (ms),Read Latency Avg (ms),Read Latency Dev (ms),Write Bandwidth (KB/s),Write IOPS,Write Latency Min (ms),Write Latency Max (ms),Write Latency Avg (ms),Write Latency Dev (ms),CPU Usage: User,CPU Usage: System
read,512,40,1,2G,300,libaio,4141,8283,14,2018395,119.846965,2248.718986,0,0,0,0,0.000000,0.000000,2.181993%,7.399642%
read,512,40,2,2G,300,libaio,4119,8239,19,1053187,242.073338,2166.898783,0,0,0,0,0.000000,0.000000,2.110000%,8.537667%
read,512,40,4,2G,300,libaio,3843,7686,35,146847,519.882148,2218.633852,0,0,0,0,0.000000,0.000000,2.170993%,8.863304%
read,512,40,8,2G,300,libaio,3889,7778,60,1245663,1027.985008,2989.442154,0,0,0,0,0.000000,0.000000,2.071653%,9.371938%
read,512,40,16,2G,300,libaio,4062,8124,125,1249854,1968.882877,5021.897133,0,0,0,0,0.000000,0.000000,2.130667%,10.362333%
read,512,40,32,2G,300,libaio,4043,8087,290,34168,3956.334243,1632.302413,0,0,0,0,0.000000,0.000000,2.259992%,11.375629%
read,512,40,64,2G,300,libaio,3964,7929,355,1248446,8069.265934,8588.670617,0,0,0,0,0.000000,0.000000,3.428299%,18.077819%
read,512,40,128,2G,300,libaio,3731,7463,923,71079,17145.629121,6289.123189,0,0,0,0,0.000000,0.000000,3.482965%,16.966497%
read,1k,40,1,2G,300,libaio,8267,8267,14,576183,120.062764,1344.190744,0,0,0,0,0.000000,0.000000,2.324628%,7.242213%
read,1k,40,2,2G,300,libaio,8267,8267,19,1355436,241.269221,2238.692168,0,0,0,0,0.000000,0.000000,2.203326%,8.348306%
read,1k,40,4,2G,300,libaio,7604,7604,34,888098,523.842661,2533.145421,0,0,0,0,0.000000,0.000000,2.088632%,9.129515%
read,1k,40,8,2G,300,libaio,7653,7653,59,764600,1044.750248,2808.276210,0,0,0,0,0.000000,0.000000,1.958987%,9.430937%
read,1k,40,16,2G,300,libaio,8111,8111,116,605170,1972.093541,2586.556416,0,0,0,0,0.000000,0.000000,2.109667%,10.527000%
read,1k,40,32,2G,300,libaio,8258,8258,268,1005086,3874.142483,4936.017557,0,0,0,0,0.000000,0.000000,2.219644%,11.164222%
