IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read Bandwidth (KB/s),Read IOPS,Read Latency Min (ms),Read Latency Max (ms),Read Latency Avg (ms),Read Latency Dev (ms),Write Bandwidth (KB/s),Write IOPS,Write Latency Min (ms),Write Latency Max (ms),Write Latency Avg (ms),Write Latency Dev (ms),CPU Usage: User,CPU Usage: System
read,4k,4,1,20G,10,libaio,40961,10240,17,23295,387.723498,515.908010,0,0,0,0,0.000000,0.000000,1.927500%,7.617500%
read,4k,4,32,20G,10,libaio,1074148,268537,23,23437,476.119983,1114.976829,0,0,0,0,0.000000,0.000000,3.627500%,21.215000%
read,4k,4,64,20G,10,libaio,1190811,297702,25,28177,859.333183,1552.462049,0,0,0,0,0.000000,0.000000,4.217395%,23.306917%
read,4k,4,128,20G,10,libaio,1056473,264118,77,26794,1937.568375,2766.193686,0,0,0,0,0.000000,0.000000,3.444742%,20.238482%
read,32k,4,1,20G,10,libaio,318800,9962,41,7675,398.721604,498.580619,0,0,0,0,0.000000,0.000000,1.772500%,7.912500%
read,32k,4,32,20G,10,libaio,3033181,94786,42,19275,1349.812974,1508.693584,0,0,0,0,0.000000,0.000000,2.000000%,13.995000%
read,32k,4,64,20G,10,libaio,4111384,128480,42,16408,1991.509555,1514.843228,0,0,0,0,0.000000,0.000000,2.547245%,19.078092%
read,32k,4,128,20G,10,libaio,4136822,129275,52,31233,3958.705975,2942.314204,0,0,0,0,0.000000,0.000000,2.119735%,18.412698%
read,64k,4,1,20G,10,libaio,622523,9726,63,3720,408.248327,455.547546,0,0,0,0,0.000000,0.000000,1.787500%,8.905000%
read,64k,4,32,20G,10,libaio,3987349,62302,64,11764,2053.739158,1898.584270,0,0,0,0,0.000000,0.000000,1.857314%,13.441156%
read,64k,4,64,20G,10,libaio,4152375,64880,66,33443,3943.362658,3467.143010,0,0,0,0,0.000000,0.000000,1.464670%,15.663976%
read,64k,4,128,20G,10,libaio,4446838,69481,108,48495,7364.476745,5456.042760,0,0,0,0,0.000000,0.000000,1.369589%,15.975207%
read,128k,4,1,20G,10,libaio,1052371,8221,104,2746,483.156130,447.517303,0,0,0,0,0.000000,0.000000,1.707457%,9.399765%
read,128k,4,32,20G,10,libaio,4440007,34687,115,27792,3687.885739,3193.344053,0,0,0,0,0.000000,0.000000,1.212076%,15.299645%
read,128k,4,64,20G,10,libaio,4505610,35200,217,32000,7269.172728,5258.703409,0,0,0,0,0.000000,0.000000,1.271991%,16.750800%
read,128k,4,128,20G,10,libaio,4506781,35209,362,65670,14528.414701,6395.220666,0,0,0,0,0.000000,0.000000,0.856515%,14.021375%
write,4k,4,1,20G,10,libaio,0,0,0,0,0.000000,0.000000,38849,9712,18,6379,409.036229,523.059485,1.867500%,7.292500%
write,4k,4,32,20G,10,libaio,0,0,0,0,0.000000,0.000000,1078466,269616,22,22447,474.232600,1053.617736,4.140000%,21.910000%
write,4k,4,64,20G,10,libaio,0,0,0,0,0.000000,0.000000,1445267,361316,22,28587,707.945263,1250.676144,5.152500%,28.427500%
write,4k,4,128,20G,10,libaio,0,0,0,0,0.000000,0.000000,33397,8349,17,425160524,16269.662269,2513589.155817,0.458773%,2.451661%
write,32k,4,1,20G,10,libaio,0,0,0,0,0.000000,0.000000,339583,10611,38,42449,374.913615,940.729715,1.542461%,6.092348%
write,32k,4,32,20G,10,libaio,0,0,0,0,0.000000,0.000000,3157629,98675,41,45029,1296.381601,1978.312221,3.758403%,14.918660%
write,32k,4,64,20G,10,libaio,0,0,0,0,0.000000,0.000000,3283983,102624,44,52106,2493.637953,2948.376337,3.867403%,14.967126%
write,32k,4,128,20G,10,libaio,0,0,0,0,0.000000,0.000000,4180849,130651,55,46545,3917.129152,3312.312317,4.199370%,18.629706%
write,64k,4,1,20G,10,libaio,0,0,0,0,0.000000,0.000000,565576,8837,64,4507,449.401487,479.581893,2.327325%,8.329375%
write,64k,4,32,20G,10,libaio,0,0,0,0,0.000000,0.000000,4219092,65923,64,26516,1940.955046,1817.825482,3.392246%,13.373997%
write,64k,4,64,20G,10,libaio,0,0,0,0,0.000000,0.000000,4441035,69391,67,33541,3687.828455,3261.033747,3.952204%,15.581331%
write,64k,4,128,20G,10,libaio,0,0,0,0,0.000000,0.000000,4475138,69924,135,32451,7319.666861,3968.586566,4.763452%,15.260040%
write,128k,4,1,20G,10,libaio,0,0,0,0,0.000000,0.000000,1117533,8730,107,7775,455.132897,411.563100,2.455000%,8.335000%
write,128k,4,32,20G,10,libaio,0,0,0,0,0.000000,0.000000,4434629,34645,118,32814,3692.939206,3503.577413,3.369242%,14.751681%
write,128k,4,64,20G,10,libaio,0,0,0,0,0.000000,0.000000,4460265,34845,121,45009,7343.680324,5365.367778,5.219368%,15.308315%
write,128k,4,128,20G,10,libaio,0,0,0,0,0.000000,0.000000,4416127,34500,367,68317,14827.440610,9626.501995,5.810237%,15.583021%
randread,4k,4,1,20G,10,libaio,38085,9521,19,18534,417.097644,530.103560,0,0,0,0,0.000000,0.000000,1.992400%,6.792160%
randread,4k,4,32,20G,10,libaio,956663,239165,23,27147,534.598074,1350.091450,0,0,0,0,0.000000,0.000000,3.344749%,19.728520%
randread,4k,4,64,20G,10,libaio,1012493,253123,29,26675,1010.688854,1890.101307,0,0,0,0,0.000000,0.000000,3.712314%,21.251437%
randread,4k,4,128,20G,10,libaio,1131040,282760,32,27416,1809.896494,2562.588558,0,0,0,0,0.000000,0.000000,4.015000%,22.905000%
randread,32k,4,1,20G,10,libaio,302785,9462,42,20810,419.685216,498.196360,0,0,0,0,0.000000,0.000000,1.872500%,7.880000%
randread,32k,4,32,20G,10,libaio,3123862,97620,43,20509,1310.498257,1493.620130,0,0,0,0,0.000000,0.000000,2.077344%,14.873884%
randread,32k,4,64,20G,10,libaio,3630082,113440,44,23786,2255.581340,2225.038338,0,0,0,0,0.000000,0.000000,2.317210%,16.890389%
randread,32k,4,128,20G,10,libaio,4414528,137954,52,21100,3709.995448,2274.116065,0,0,0,0,0.000000,0.000000,2.551990%,20.970806%
randread,64k,4,1,20G,10,libaio,769209,12018,63,3594,330.418166,404.102611,0,0,0,0,0.000000,0.000000,1.704872%,8.491863%
randread,64k,4,32,20G,10,libaio,3853302,60207,65,23637,2125.013421,2364.240924,0,0,0,0,0.000000,0.000000,1.534885%,13.456491%
randread,64k,4,64,20G,10,libaio,4161867,65029,68,36537,3934.585203,3483.484393,0,0,0,0,0.000000,0.000000,1.546959%,15.694507%
randread,64k,4,128,20G,10,libaio,4450711,69542,130,43002,7358.261607,5051.212339,0,0,0,0,0.000000,0.000000,1.386807%,16.386807%
randread,128k,4,1,20G,10,libaio,1070070,8359,104,3727,475.008037,441.249553,0,0,0,0,0.000000,0.000000,1.674958%,9.347266%
randread,128k,4,32,20G,10,libaio,4457992,34828,105,34041,3673.053679,3244.838411,0,0,0,0,0.000000,0.000000,1.269683%,15.121220%
randread,128k,4,64,20G,10,libaio,4504326,35190,203,37358,7270.862318,5140.125250,0,0,0,0,0.000000,0.000000,1.279232%,16.592544%
randread,128k,4,128,20G,10,libaio,4506970,35210,363,57964,14530.709691,7722.249281,0,0,0,0,0.000000,0.000000,0.878989%,15.632023%
randwrite,4k,4,1,20G,10,libaio,0,0,0,0,0.000000,0.000000,38850,9712,17,15348,408.861196,533.230187,1.910000%,7.222500%
randwrite,4k,4,32,20G,10,libaio,0,0,0,0,0.000000,0.000000,1068325,267081,24,25682,478.677793,1017.067522,4.337392%,23.014425%
randwrite,4k,4,64,20G,10,libaio,0,0,0,0,0.000000,0.000000,6058,1514,22,2235222388,42164.818597,9621037.102235,0.091640%,0.505974%
