IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read Bandwidth (KB/s),Read IOPS,Read Latency Min (us),Read Latency Max (us),Read Latency Avg (us),Read Latency Dev (us),Write Bandwidth (KB/s),Write IOPS,Write Latency Min (us),Write Latency Max (us),Write Latency Avg (us),Write Latency Dev (us),CPU Usage: User,CPU Usage: System
read,4k,1,1,40G,10,libaio,1859178,464794,1,294,1.450196,1.088436,0,0,0,0,0.000000,0.000000,14.540000%,85.280000%
read,4k,1,32,40G,10,libaio,1895359,473839,2,282,50.633680,4.666277,0,0,0,0,0.000000,0.000000,15.160000%,84.680000%
read,4k,1,64,40G,10,libaio,1692429,423107,3,436,113.544466,8.059435,0,0,0,0,0.000000,0.000000,13.400000%,86.450000%
read,32k,1,1,40G,10,libaio,3864355,120761,5,235,6.056155,1.713940,0,0,0,0,0.000000,0.000000,4.120000%,95.740000%
read,32k,1,32,40G,10,libaio,3190573,99705,7,682,241.152247,20.670987,0,0,0,0,0.000000,0.000000,3.530000%,96.320000%
read,32k,1,64,40G,10,libaio,3481248,108789,9,1306,442.548216,34.076301,0,0,0,0,0.000000,0.000000,3.850000%,95.990000%
read,64k,1,1,40G,10,libaio,4016051,62750,9,316,11.799912,2.590211,0,0,0,0,0.000000,0.000000,2.370000%,97.480000%
read,64k,1,32,40G,10,libaio,3682287,57535,14,1201,418.877666,35.633635,0,0,0,0,0.000000,0.000000,2.040000%,97.820000%
read,64k,1,64,40G,10,libaio,3381517,52836,13,2308,911.043685,79.559676,0,0,0,0,0.000000,0.000000,2.060000%,97.790000%
write,4k,1,1,40G,10,libaio,0,0,0,0,0.000000,0.000000,1449980,362495,1,301,1.899176,0.970574,11.790000%,88.060000%
write,4k,1,32,40G,10,libaio,0,0,0,0,0.000000,0.000000,1518492,379623,3,424,63.231349,6.635887,13.070000%,86.800000%
write,4k,1,64,40G,10,libaio,0,0,0,0,0.000000,0.000000,1450446,362611,3,561,132.857892,13.164992,13.120000%,86.710000%
write,32k,1,1,40G,10,libaio,0,0,0,0,0.000000,0.000000,2400867,75027,8,287,9.867754,2.147791,3.750000%,96.100000%
write,32k,1,32,40G,10,libaio,0,0,0,0,0.000000,0.000000,1966657,61458,13,1274,391.513120,19.042084,4.040000%,95.830000%
write,32k,1,64,40G,10,libaio,0,0,0,0,0.000000,0.000000,2407167,75223,11,1973,640.428516,20.398718,5.090000%,94.760000%
write,64k,1,1,40G,10,libaio,0,0,0,0,0.000000,0.000000,2106112,32908,19,311,22.655793,3.573802,2.370000%,97.470000%
write,64k,1,32,40G,10,libaio,0,0,0,0,0.000000,0.000000,2497811,39028,24,2091,617.336207,33.429045,4.220000%,95.620000%
write,64k,1,64,40G,10,libaio,0,0,0,0,0.000000,0.000000,2050566,32040,25,3316,1502.137036,56.234494,3.220000%,96.620000%
randread,4k,1,1,40G,10,libaio,1483998,370999,1,288,1.839671,0.964076,0,0,0,0,0.000000,0.000000,12.530000%,87.330000%
randread,4k,1,32,40G,10,libaio,1352140,338035,3,369,70.103756,6.433275,0,0,0,0,0.000000,0.000000,11.510000%,88.340000%
randread,4k,1,64,40G,10,libaio,1326291,331572,3,392,143.465994,8.271084,0,0,0,0,0.000000,0.000000,11.650000%,88.220000%
randread,32k,1,1,40G,10,libaio,3260688,101896,3,310,7.097025,2.113298,0,0,0,0,0.000000,0.000000,3.730000%,96.130000%
randread,32k,1,32,40G,10,libaio,3004694,93896,9,688,254.017538,14.593911,0,0,0,0,0.000000,0.000000,3.440000%,96.390000%
randread,32k,1,64,40G,10,libaio,2901793,90681,12,1311,526.916831,22.169896,0,0,0,0,0.000000,0.000000,3.190000%,96.660000%
randread,64k,1,1,40G,10,libaio,3734813,58356,6,294,12.584862,2.810422,0,0,0,0,0.000000,0.000000,2.210000%,97.650000%
randread,64k,1,32,40G,10,libaio,3119944,48749,17,1237,489.765322,21.407323,0,0,0,0,0.000000,0.000000,1.990000%,97.860000%
randread,64k,1,64,40G,10,libaio,3101040,48453,14,2739,989.047907,49.051171,0,0,0,0,0.000000,0.000000,1.880000%,97.940000%
randwrite,4k,1,1,40G,10,libaio,0,0,0,0,0.000000,0.000000,1112666,278166,1,252,2.501779,1.228858,9.920000%,89.930000%
randwrite,4k,1,32,40G,10,libaio,0,0,0,0,0.000000,0.000000,1116286,279071,16,404,85.478702,7.696401,9.940000%,89.900000%
randwrite,4k,1,64,40G,10,libaio,0,0,0,0,0.000000,0.000000,1127314,281828,4,468,169.431554,9.610860,10.530000%,89.350000%
randwrite,32k,1,1,40G,10,libaio,0,0,0,0,0.000000,0.000000,2072902,64778,3,255,11.328371,2.822840,3.030000%,96.810000%
randwrite,32k,1,32,40G,10,libaio,0,0,0,0,0.000000,0.000000,2019903,63121,14,1236,379.206427,17.320091,4.570000%,95.290000%
randwrite,32k,1,64,40G,10,libaio,0,0,0,0,0.000000,0.000000,2037972,63686,11,1737,752.228567,34.343966,4.780000%,95.050000%
randwrite,64k,1,1,40G,10,libaio,0,0,0,0,0.000000,0.000000,2195409,34303,6,280,21.631524,4.114686,2.350000%,97.500000%
randwrite,64k,1,32,40G,10,libaio,0,0,0,0,0.000000,0.000000,2250424,35162,20,1665,683.142238,52.583209,4.040000%,95.770000%
randwrite,64k,1,64,40G,10,libaio,0,0,0,0,0.000000,0.000000,2501618,39087,20,2040,1227.410711,113.026919,4.300000%,95.490000%
