IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read IOPS,Write IOPS
read,1k,40,1,1G,10,libaio,482570,0
read,4k,40,1,1G,10,libaio,312386,0
read,8k,40,1,1G,10,libaio,210408,0
read,1M,40,1,1G,10,libaio,1635,0
write,1k,40,1,1G,10,libaio,0,363094
write,4k,40,1,1G,10,libaio,0,223474
write,8k,40,1,1G,10,libaio,0,127273
write,1M,40,1,1G,10,libaio,0,1043
randread,1k,40,1,1G,10,libaio,380238,0
randread,4k,40,1,1G,10,libaio,274020,0
randread,8k,40,1,1G,10,libaio,194128,0
randread,1M,40,1,1G,10,libaio,1482,0
randwrite,1k,40,1,1G,10,libaio,0,327790
randwrite,4k,40,1,1G,10,libaio,0,227821
randwrite,8k,40,1,1G,10,libaio,0,130888
randwrite,1M,40,1,1G,10,libaio,0,1426
rw,1k,40,1,1G,10,libaio,207987,207774
rw,4k,40,1,1G,10,libaio,133519,133311
rw,8k,40,1,1G,10,libaio,91215,90937
rw,1M,40,1,1G,10,libaio,600,526
randrw,1k,40,1,1G,10,libaio,170073,169878
randrw,4k,40,1,1G,10,libaio,130238,130031
randrw,8k,40,1,1G,10,libaio,83143,82901
randrw,1M,40,1,1G,10,libaio,813,712
