IO Type,Blocksize,Number of Jobs,IO Depth,Data size,Duration,IO Engine,Read Bandwidth (KB/s),Read IOPS,Read Latency Min (ms),Read Latency Max (ms),Read Latency Avg (ms),Read Latency Dev (ms),Write Bandwidth (KB/s),Write IOPS,Write Latency Min (ms),Write Latency Max (ms),Write Latency Avg (ms),Write Latency Dev (ms),CPU Usage: User,CPU Usage: System
read,4k,4,1,20G,30,libaio,729747,182436,15,1112,21.486770,4.436424,0,0,0,0,0.000000,0.000000,4.785833%,20.569167%
read,4k,4,32,20G,30,libaio,2481105,620276,17,1208,205.883230,45.591057,0,0,0,0,0.000000,0.000000,7.427500%,42.451667%
read,4k,4,64,20G,30,libaio,2446820,611705,23,1649,418.016941,92.976312,0,0,0,0,0.000000,0.000000,7.136667%,42.763333%
read,4k,4,128,20G,30,libaio,2436886,609221,19,2128,839.896507,79.004019,0,0,0,0,0.000000,0.000000,7.145833%,42.750000%
read,4k,4,256,20G,30,libaio,2438628,609657,29,2931,1679.029517,98.833433,0,0,0,0,0.000000,0.000000,7.165000%,42.721667%
read,4k,4,512,20G,30,libaio,2366366,591591,28,5119,3460.839307,130.394552,0,0,0,0,0.000000,0.000000,8.027500%,41.861667%
read,32k,4,1,20G,30,libaio,2652985,82905,36,1091,47.780591,8.384712,0,0,0,0,0.000000,0.000000,1.900833%,11.518333%
read,32k,4,32,20G,30,libaio,4460730,139397,154,1766,917.836532,15.286976,0,0,0,0,0.000000,0.000000,2.482500%,16.665833%
read,32k,4,64,20G,30,libaio,4459892,139371,346,3634,1836.389262,23.208497,0,0,0,0,0.000000,0.000000,2.381587%,16.912770%
read,32k,4,128,20G,30,libaio,4460929,139404,1433,5434,3672.018919,98.915932,0,0,0,0,0.000000,0.000000,1.934102%,16.545282%
read,32k,4,256,20G,30,libaio,4461547,139423,1487,9105,7342.850443,112.949184,0,0,0,0,0.000000,0.000000,1.974101%,17.265258%
read,32k,4,512,20G,30,libaio,4461109,139409,1476,28417,14683.487250,313.448473,0,0,0,0,0.000000,0.000000,1.942435%,17.621913%
read,64k,4,1,20G,30,libaio,2941604,45962,59,9887,86.464848,18.775681,0,0,0,0,0.000000,0.000000,1.254167%,8.727500%
read,64k,4,32,20G,30,libaio,4481397,70021,214,3548,1827.442609,20.929180,0,0,0,0,0.000000,0.000000,1.584114%,11.717109%
read,64k,4,64,20G,30,libaio,4485699,70089,469,7218,3651.790728,45.371058,0,0,0,0,0.000000,0.000000,1.508183%,13.564477%
